obra,autor_yaml,grupo,termo_encontrado,pagina,posicao_no_texto,contexto_antes,trecho_central,contexto_depois,descartado_por_exclusao
latour_2013_aime_en,latour,trajectory_pass,discontinuities,1,134416,are not the same passes or the comparison through same,discontinuities,but they nevertheless share its own particular a family resemblance.,0
latour_2013_aime_en,latour,trajectory_pass,trajectory,1,135603,"parties, and the judgment, she is able to trace a",trajectory,"that resembles no other. To be sure, all the intercon-",0
latour_2013_aime_en,latour,trajectory_pass,continuity,1,136294,is capable—by dint of hard work—of grasping it in its,continuity,despite and owing to the series of hiatuses that are,0
latour_2013_aime_en,latour,trajectory_pass,discontinuities,1,136752,"helped, the notion of means remains totally obscure, marked by",discontinuities,whose logic completely escapes the outside observer—and also the plaintiffs,0
latour_2013_aime_en,latour,trajectory_pass,trajectory,1,137655,• that nevertheless allows her to say that in the,trajectory,"that traverses this whole medley of motifs, something specifically legal",0
latour_2013_aime_en,latour,trajectory_pass,leaps,1,138331,"here, in fact, a pass particular to law; something that",leaps,from one step to the next in the work of,0
latour_2013_aime_en,latour,trajectory_pass,trajectory,1,139450,"details of knowledge production, she believes she has distinguished a",trajectory,characterized in its turn by a particular hiatus between elements,0
latour_2013_aime_en,latour,trajectory_pass,hiatus,1,139503,distinguished a trajectory characterized in its turn by a particular,hiatus,"between elements so dissimilar that, without this trajectory, they would",0
latour_2013_aime_en,latour,trajectory_pass,trajectory,1,139560,"a particular hiatus between elements so dissimilar that, without this",trajectory,they would never have lined up in any kind of,0
latour_2013_aime_en,latour,trajectory_pass,trajectory,1,139630,never have lined up in any kind of order. This,trajectory,"made of discontinuous leaps, is what allows a researcher to",0
latour_2013_aime_en,latour,trajectory_pass,leaps,1,139664,"in any kind of order. This trajectory, made of discontinuous",leaps,"is what allows a researcher to determine that, for example,",0
latour_2013_aime_en,latour,trajectory_pass,course of action,1,140415,"our ethnographer is that, again, for someone looking at this",course of action,"from the outside, each step in the proofs is marked",0
latour_2013_aime_en,latour,trajectory_pass,discontinuity,1,140508,each step in the proofs is marked by an abrupt,discontinuity,an equation does not “resemble” a table of figures any,0
latour_2013_aime_en,latour,trajectory_pass,continuity,1,140904,"person who is operating within this network, there is indeed",continuity,"Or rather, however strange the list of ingredients that make",0
latour_2013_aime_en,latour,trajectory_pass,continuity,1,141721,trades are nevertheless distinguished by the same capacity to grasp,continuity,through a series of discontinuities—and then to grasp another continuity,0
latour_2013_aime_en,latour,trajectory_pass,discontinuities,1,141763,the same capacity to grasp continuity through a series of,discontinuities,then to grasp another continuity by passing through another discontinuity.,0
latour_2013_aime_en,latour,trajectory_pass,continuity,1,141805,continuity through a series of discontinuities—and then to grasp another,continuity,by passing through another discontinuity. So now the ethnologist is,0
latour_2013_aime_en,latour,trajectory_pass,discontinuity,1,141854,discontinuities—and then to grasp another continuity by passing through another,discontinuity,So now the ethnologist is in possession of a new,0
latour_2013_aime_en,latour,trajectory_pass,continuities,1,143721,"pass in order to carry it out; this movement, between",continuities,consisting of a series of leaps (identified by the and,0
latour_2013_aime_en,latour,trajectory_pass,leaps,1,143760,"out; this movement, between continuities consisting of a series of",leaps,(identified by the and discontinuities. surprises encountered by the ethnologist,0
latour_2013_aime_en,latour,trajectory_pass,discontinuities,1,143801,consisting of a series of leaps (identified by the and,discontinuities,"surprises encountered by the ethnologist and her informants), traces a",0
latour_2013_aime_en,latour,trajectory_pass,trajectories,1,145687,"given situation, the value that emanates from that situation. These",trajectories,have the same general form as those of a [net].,0
latour_2013_aime_en,latour,trajectory_pass,leaps,1,145772,as those of a [net]. They too are defined by,leaps,"discontinuities, hiatuses. But unlike networks, they create sequences that do",0
latour_2013_aime_en,latour,trajectory_pass,discontinuities,1,145779,"those of a [net]. They too are defined by leaps,",discontinuities,"hiatuses. But unlike networks, they create sequences that do not",0
latour_2013_aime_en,latour,trajectory_pass,continuity,1,145942,"lists of unexpected actors, but rather to a type of",continuity,specific 41 • §1-ch1 to each instance. Our investigator has,0
latour_2013_aime_en,latour,trajectory_pass,continuity,1,146306,"third, networks— in the [net] sense—through which one ultimately obtains",continuity,"through the intermediary of discontinuities, unexpected associations, that are revealed",0
latour_2013_aime_en,latour,trajectory_pass,discontinuities,1,146356,sense—through which one ultimately obtains continuity through the intermediary of,discontinuities,"unexpected associations, that are revealed by the course of the",0
